SERIAL_NUMBER,DATE,HUMS_TMP_FCT1,HUMS_NB_EVENT_FCT1,HUMS_TMP_FCT2,HUMS_NB_EVENT_FCT2,HUMS_TMP_FCT3,HUMS_NB_EVENT_FCT3,HUMS_MIN_TEMPERATURE_FCT4,HUMS_MAX_TEMPERATURE_FCT4
SN-A001,2025-01-18,36.0,0,46.2,11,47.8,1,11.4,77.0
SN-A001,2025-02-16,36.1,2,61.8,6,46.0,8,20.5,79.0
SN-A001,2025-04-27,41.2,10,46.4,0,44.3,8,17.1,73.1
SN-A001,2025-05-25,50.4,8,0,0,37.3,0,23.1,68.6
SN-A001,2025-06-26,36.0,8,50.7,10,32.6,5,23.2,77.3
SN-A001,2025-10-08,42.0,9,49.0,8,40.9,1,10.3,70.5
SN-A001,2025-11-28,40.6,6,47.6,1,41.5,2,16.3,77.5
SN-A001,2025-11-28,42.5,0,0,0,46.1,6,17.7,66.4
SN-A001,2026-01-19,50.3,7,46.3,0,39.4,1,11.4,70.2
SN-A001,2026-01-20,38.4,6,54.8,9,45.9,3,10.6,64.8
SN-A001,2025-11-28,42.5,0,0,0,46.1,6,17.7,66.4
SN-A001,2026-01-19,50.3,7,46.3,0,39.4,1,11.4,70.2
SN-A001,2026-01-20,38.4,6,54.8,9,45.9,3,10.6,64.8
SN-A001,2026-01-25,35.4,1,48.5,11,47.5,4,24.0,79.6
SN-A002,2025-04-05,44.2,9,52.9,7,32.7,8,24.4,77.4
SN-A002,2025-04-08,0,0,0,0,0,0,0,0
SN-A002,2025-05-31,45.9,3,0,0,36.5,5,20.7,74.2
SN-A002,2025-07-04,51.8,9,52.3,12,40.5,6,23.5,65.5
SN-A002,2025-09-10,38.3,7,59.2,6,45.1,8,15.9,64.1
SN-A002,2025-10-05,0,0,52.2,8,34.8,5,21.0,76.4
SN-A002,2025-11-12,0,0,0,0,0,0,0,0
SN-A002,2025-11-14,52.5,5,63.3,9,37.8,2,10.2,70.5
SN-A003,2025-01-08,41.1,10,61.7,10,39.8,4,15.4,61.2
SN-A003,2025-03-02,54.0,1,47.2,11,0,0,11.5,65.2
SN-A003,2025-03-14,35.5,2,45.2,8,0,0,20.2,71.0
SN-A003,2025-04-19,52.2,5,45.7,8,34.8,0,10.1,73.0
SN-A003,2025-06-11,44.3,1,49.2,1,41.5,0,24.4,77.5
SN-A003,2025-10-14,41.8,0,46.1,6,35.5,3,16.0,76.8
SN-A003,2025-12-18,44.3,2,58.3,1,35.9,5,14.0,79.6
SN-A003,2025-12-21,37.6,7,51.5,5,33.7,2,19.5,74.1
SN-A003,2025-12-26,44.2,4,53.7,10,36.5,3,17.7,62.4
SN-A003,2026-01-17,38.8,4,0,0,39.1,6,13.5,65.5
SN-A004,2025-01-21,52.3,8,0,0,42.3,8,17.6,64.8
SN-A004,2025-08-23,51.2,0,57.7,5,40.6,3,20.7,73.7
SN-A004,2025-10-15,37.9,10,52.7,0,36.2,3,21.3,67.3
SN-A004,2025-11-03,35.0,1,61.8,10,41.0,6,14.2,75.2
SN-A004,2025-11-03,39.1,8,49.7,1,44.1,3,13.1,73.1
SN-A004,2025-11-08,48.4,9,46.3,12,0,0,10.2,60.8
SN-A004,2025-11-16,54.6,2,0,0,37.2,1,24.7,78.2
SN-A004,2026-01-02,0,0,60.8,1,30.7,2,20.4,78.4
SN-A004,2026-01-08,36.0,6,55.9,2,30.1,8,0,0
SN-A004,2026-01-25,52.2,9,64.6,1,31.5,1,10.8,76.0
SN-A005,2025-01-15,53.3,1,48.4,11,30.8,3,17.6,74.7
SN-A005,2025-01-30,46.2,2,57.3,2,0,0,18.4,77.2
SN-A005,2025-03-19,50.2,3,0,0,45.1,0,22.0,63.2
SN-A005,2025-03-22,54.6,8,0,0,42.4,3,14.3,66.4
SN-A005,2025-06-10,52.1,10,60.7,5,42.0,0,15.8,72.4
SN-A005,2025-07-09,38.9,0,46.7,2,30.2,3,12.3,69.5
SN-A005,2025-08-07,53.7,5,58.0,3,43.9,5,14.8,78.4
SN-A005,2025-08-31,51.2,9,64.1,10,0,0,11.0,75.8
SN-A005,2025-10-02,38.9,5,46.4,0,0,0,24.3,61.4
SN-A005,2025-10-28,47.6,0,54.8,10,48.1,0,18.8,60.1
SN-A005,2025-11-05,37.2,2,0,0,38.2,0,18.5,70.4
SN-A006,2025-02-08,0,0,0,0,0,0,0,0
SN-A006,2025-02-15,52.0,9,45.8,2,31.9,1,14.5,70.7
SN-A006,2025-05-19,50.2,4,46.7,0,43.4,5,14.6,61.4
SN-A006,2025-06-05,40.5,2,45.9,6,40.6,5,17.9,64.5
SN-A006,2025-08-10,42.0,6,56.4,1,40.6,3,12.1,78.5
SN-A006,2025-09-27,43.1,8,58.8,2,31.5,6,10.4,66.9
SN-A006,2025-10-06,46.5,9,63.4,11,0,0,20.2,67.1
SN-A006,2025-10-09,0,0,0,0,0,0,0,0
SN-A006,2025-12-05,47.1,6,62.0,0,35.1,5,0,0
SN-A006,2025-12-26,38.8,10,64.7,6,45.2,8,20.9,71.6
SN-A006,2026-01-05,52.2,10,52.4,5,46.8,3,21.0,60.3
SN-A006,2026-01-16,44.5,3,64.4,5,44.6,6,11.4,61.6
SN-A006,2026-01-25,0,0,0,0,0,0,0,0
SN-A007,2025-04-04,40.2,5,55.0,12,31.9,6,19.0,79.8
SN-A007,2025-07-02,50.9,3,64.6,8,35.6,7,15.3,66.5
SN-A007,2025-08-25,40.6,2,59.9,10,38.2,3,20.2,72.9
SN-A007,2025-09-19,49.6,0,46.5,8,41.6,5,16.4,62.5
SN-A007,2025-12-19,42.4,10,50.7,0,36.7,3,15.8,72.1
SN-A007,2026-01-20,52.7,7,52.9,5,38.8,1,24.7,75.2
SN-A008,2025-01-25,38.7,10,54.8,9,49.3,1,0,0
SN-A008,2025-06-30,54.5,1,62.1,6,31.4,2,10.8,62.1
SN-A008,2025-08-09,40.0,2,53.7,3,34.1,1,0,0
SN-A009,2025-01-20,38.3,3,52.2,11,31.6,3,23.1,74.0
SN-A009,2025-02-02,54.5,0,58.4,6,39.5,7,,0
SN-A009,2025-06-13,36.1,9,61.6,1,46.0,2,15.2,65.8
SN-A009,2025-07-18,44.6,1,48.5,9,33.1,0,22.7,74.4
SN-A009,2025-07-31,43.5,5,57.7,8,42.1,3,20.1,75.6
SN-A009,2025-08-07,0,0,0,0,0,0,0,0
SN-A009,2025-08-10,53.2,9,47.2,3,38.1,1,24.5,70.2
SN-A009,2025-10-13,39.1,3,48.2,4,35.7,3,14.4,74.2
SN-A009,2025-10-31,51.3,1,53.7,8,44.0,4,23.0,67.7
SN-A009,2026-01-14,41.2,3,48.1,10,43.2,7,21.2,74.2
SN-A010,2025-01-04,42.6,4,0,0,44.4,0,23.0,65.9
SN-A010,2025-02-03,48.5,6,54.3,3,42.3,1,23.3,72.9
SN-A010,2025-05-06,51.7,10,47.1,2,0,0,11.9,74.5
